epoch,observed_map50,fit_at_trigger,mu_hat,phase,phase2_epoch,trigger_epoch,tau_hat_at_trigger,a_hat_at_trigger,fit_at_epoch_40,a_hat_at_epoch_40,tau_hat_at_epoch_40,fit_at_epoch_50,a_hat_at_epoch_50,tau_hat_at_epoch_50,fit_at_epoch_54,a_hat_at_epoch_54,tau_hat_at_epoch_54
58,0.79175,0.831518986322525,0.882839,3,41,54,27.994987,0.95135,0.8819809401304951,1.071033,33.441799,0.840291435840202,0.971339,28.9549,0.831518986322525,0.95135,27.994987
59,0.79949,0.8357238837357808,0.889134,3,41,54,27.994987,0.95135,0.8875504204499056,1.071033,33.441799,0.8447400933132989,0.971339,28.9549,0.8357238837357808,0.95135,27.994987
60,0.80637,0.8397812303463406,0.894734,3,41,54,27.994987,0.95135,0.8929558236836197,1.071033,33.441799,0.8490377326927758,0.971339,28.9549,0.8397812303463406,0.95135,27.994987
61,0.80697,0.8436962037452929,0.900138,3,41,54,27.994987,0.95135,0.8982019835483409,1.071033,33.441799,0.8531894805735075,0.971339,28.9549,0.8436962037452929,0.95135,27.994987
62,0.79696,0.8474737998408827,0.905963,3,41,54,27.994987,0.95135,0.9032935913593092,1.071033,33.441799,0.8572002895184074,0.971339,28.9549,0.8474737998408827,0.95135,27.994987
63,0.81932,0.8511188392338025,0.910255,3,41,54,27.994987,0.95135,0.9082352002254529,1.071033,33.441799,0.8610749439662719,0.971339,28.9549,0.8511188392338025,0.95135,27.994987
64,0.82107,0.8546359733687751,0.914371,3,41,54,27.994987,0.95135,0.9130312291209515,1.071033,33.441799,0.8648180659390716,0.971339,28.9549,0.8546359733687751,0.95135,27.994987
65,0.82276,0.858029690470274,0.918314,3,41,54,27.994987,0.95135,0.9176859668368498,1.071033,33.441799,0.8684341205554975,0.971339,28.9549,0.858029690470274,0.95135,27.994987
66,0.81589,0.8613043212699595,0.92248,3,41,54,27.994987,0.95135,0.9222035758162583,1.071033,33.441799,0.8719274213573399,0.971339,28.9549,0.8613043212699595,0.95135,27.994987
67,0.83047,0.8644640445331365,0.925857,3,41,54,27.994987,0.95135,0.9265880958765671,1.071033,33.441799,0.875302135455053,0.971339,28.9549,0.8644640445331365,0.95135,27.994987
68,0.83596,0.8675128923912896,0.928943,3,41,54,27.994987,0.95135,0.9308434478220042,1.071033,33.441799,0.8785622884986432,0.971339,28.9549,0.8675128923912896,0.95135,27.994987
69,0.83237,0.8704547554874956,0.93212,3,41,54,27.994987,0.95135,0.9349734369497675,1.071033,33.441799,0.8817117694798127,0.971339,28.9549,0.8704547554874956,0.95135,27.994987
70,0.83046,0.8732933879412846,0.935284,3,41,54,27.994987,0.95135,0.938981756452866,1.071033,33.441799,0.8847543353710826,0.971339,28.9549,0.8732933879412846,0.95135,27.994987
71,0.82815,0.8760324121392825,0.938426,3,41,54,27.994987,0.95135,0.9428719907227125,1.071033,33.441799,0.887693615607435,0.971339,28.9549,0.8760324121392825,0.95135,27.994987
72,0.83079,0.8786753233577472,0.941365,3,41,54,27.994987,0.95135,0.9466476185544238,1.071033,33.441799,0.8905331164158155,0.971339,28.9549,0.8786753233577472,0.95135,27.994987
73,0.83538,0.8812254942229016,0.944059,3,41,54,27.994987,0.95135,0.9503120162576897,1.071033,33.441799,0.8932762249976631,0.971339,28.9549,0.8812254942229016,0.95135,27.994987
74,0.83362,0.8836861790147503,0.946713,3,41,54,27.994987,0.95135,0.9538684606759984,1.071033,33.441799,0.8959262135694565,0.971339,28.9549,0.8836861790147503,0.95135,27.994987
75,0.83227,0.8860605178198752,0.949304,3,41,54,27.994987,0.95135,0.9573201321169139,1.071033,33.441799,0.8984862432660955,0.971339,28.9549,0.8860605178198752,0.95135,27.994987
76,0.83346,0.8883515405385091,0.951758,3,41,54,27.994987,0.95135,0.9606701171960278,1.071033,33.441799,0.9009593679117759,0.971339,28.9549,0.8883515405385091,0.95135,27.994987
77,0.83303,0.890562170750999,0.954122,3,41,54,27.994987,0.95135,0.9639214115971275,1.071033,33.441799,0.9033485376628543,0.971339,28.9549,0.890562170750999,0.95135,27.994987
78,0.83405,0.8926952294485957,0.956362,3,41,54,27.994987,0.95135,0.967076922751052,1.071033,33.441799,0.9056566025270484,0.971339,28.9549,0.8926952294485957,0.95135,27.994987
79,0.82631,0.8947534386333276,0.958665,3,41,54,27.994987,0.95135,0.9701394724356244,1.071033,33.441799,0.9078863157631727,0.971339,28.9549,0.8947534386333276,0.95135,27.994987
80,0.8329570540143635,0.8967394247915557,0.96125,3,41,54,27.994987,0.95135,0.973111799298995,1.071033,33.441799,0.9100403371654631,0.971339,28.9549,0.8967394247915557,0.95135,27.994987
