epoch,observed_map50,fit_at_trigger,mu_hat,phase,phase2_epoch,trigger_epoch,tau_hat_at_trigger,a_hat_at_trigger,fit_at_epoch_7,a_hat_at_epoch_7,tau_hat_at_epoch_7,fit_at_epoch_9,a_hat_at_epoch_9,tau_hat_at_epoch_9,fit_at_epoch_10,a_hat_at_epoch_10,tau_hat_at_epoch_10
41,0.91485,0.9747214618640841,0.999988,3,10,10,4.23978,0.974783,1.58030567565733,1.595157,8.766981,1.1010175929413037,1.101442,5.215331,0.9747214618640841,0.974783,4.23978
42,0.92748,0.9747343916277721,0.999991,3,10,10,4.23978,0.974783,1.5819066404042204,1.595157,8.766981,1.101091643693704,1.101442,5.215331,0.9747343916277721,0.974783,4.23978
43,0.93435,0.9747446047217634,0.999993,3,10,10,4.23978,0.974783,1.583335022015651,1.595157,8.766981,1.101152774034394,1.101442,5.215331,0.9747446047217634,0.974783,4.23978
44,0.92858,0.9747526719449079,0.999994,3,10,10,4.23978,0.974783,1.5846094248604585,1.595157,8.766981,1.1012032383231658,1.101442,5.215331,0.9747526719449079,0.974783,4.23978
45,0.91771,0.9747590441656392,0.999995,3,10,10,4.23978,0.974783,1.5857464477665615,1.595157,8.766981,1.1012448975780054,1.101442,5.215331,0.9747590441656392,0.974783,4.23978
46,0.94719,0.9747640775205276,0.999996,3,10,10,4.23978,0.974783,1.5867609002171903,1.595157,8.766981,1.101279288105565,1.101442,5.215331,0.9747640775205276,0.974783,4.23978
47,0.94238,0.9747680533183694,0.999997,3,10,10,4.23978,0.974783,1.587665995241277,1.595157,8.766981,1.1013076781569568,1.101442,5.215331,0.9747680533183694,0.974783,4.23978
48,0.92432,0.9747711937622344,0.999998,3,10,10,4.23978,0.974783,1.5884735215103687,1.595157,8.766981,1.1013311146982143,1.101442,5.215331,0.9747711937622344,0.974783,4.23978
49,0.9288,0.9747736743681559,0.999998,3,10,10,4.23978,0.974783,1.5891939968835822,1.595157,8.766981,1.101350462020223,1.101442,5.215331,0.9747736743681559,0.974783,4.23978
50,0.93929,0.9747756337745336,0.999999,3,10,10,4.23978,0.974783,1.5898368054005,1.595157,8.766981,1.1013664336119693,1.101442,5.215331,0.9747756337745336,0.974783,4.23978
51,0.94891,0.9747771814904846,0.999999,3,10,10,4.23978,0.974783,1.5904103195063046,1.595157,8.766981,1.10137961847253,1.101442,5.215331,0.9747771814904846,0.974783,4.23978
52,0.9439,0.9747784040161905,0.999999,3,10,10,4.23978,0.974783,1.5909220091011056,1.595157,8.766981,1.1013905028321331,1.101442,5.215331,0.9747784040161905,0.974783,4.23978
53,0.95043,0.9747793696772994,0.999999,3,10,10,4.23978,0.974783,1.5913785388338142,1.595157,8.766981,1.101399488083318,1.101442,5.215331,0.9747793696772994,0.974783,4.23978
54,0.95451,0.9747801324435733,0.999999,3,10,10,4.23978,0.974783,1.5917858549077872,1.595157,8.766981,1.1014069055834557,1.101442,5.215331,0.9747801324435733,0.974783,4.23978
55,0.95286,0.9747807349451993,1.0,3,10,10,4.23978,0.974783,1.5921492625288693,1.595157,8.766981,1.10141302887452,1.101442,5.215331,0.9747807349451993,0.974783,4.23978
56,0.95621,0.9747812108553464,1.0,3,10,10,4.23978,0.974783,1.5924734950045782,1.595157,8.766981,1.101418083770747,1.101442,5.215331,0.9747812108553464,0.974783,4.23978
